Currency Name,Currency Price,1 hour,24 hours,7 days
,,,,
Bitcoin,35794.41369,-0.04562838,1.91880447,2.92969222
,,,,
Ethereum,2419.426923,-0.91630788,0.52633236,16.9995387
,,,,
Tether,1.000667759,0.03091766,0.01578269,-0.01620171
,,,,
Cardano,1.625629844,0.12694315,10.51306658,24.88036071
,,,,
Binance Coin,331.248363,0.43794367,2.57694091,27.0230978
,,,,
XRP,0.879306139,-0.03445282,0.86191314,9.53455467
,,,,
Dogecoin,0.305029604,0.04118312,0.6518448,-3.96588143
,,,,
USD Coin,1.000080235,0.03588277,0.01331439,-0.07081592
,,,,
Polkadot,20.91177999,0.46558556,1.57359739,9.11181317
,,,,
Uniswap,24.9937898,-0.68799281,-1.47632348,42.63163691
,,,,
Internet Computer,110.1686923,0.05622575,-1.73639352,-19.82988008
,,,,
Bitcoin Cash,675.8776899,-0.03712749,2.55554792,17.67563747
,,,,
Chainlink,27.83008602,-0.12043902,2.83636567,43.00282644
,,,,
Polygon,1.895718493,1.18309851,7.6947803,96.29403213
,,,,
Litecoin,175.791142,-0.16438998,2.07558139,17.17539862
,,,,
Stellar,0.390457772,-1.03506665,2.7429945,14.15546264
,,,,
Binance USD,0.999962208,0.03930114,0.00787385,-0.00442883
,,,,
Solana,29.00682205,-1.95503198,1.86416922,21.59232211
,,,,
Ethereum Classic,66.72595089,0.44951965,2.83630743,24.15582884
,,,,
VeChain,0.110425914,0.00480662,4.51416557,24.71745859
,,,,
THETA,6.696924973,-0.12507879,2.30642898,9.08350507
,,,,
Wrapped Bitcoin,35913.64374,0.17688413,2.3318366,3.34770492
,,,,
EOS,6.212223428,-0.10182542,1.17657848,33.86193166
,,,,
TRON,0.07215297,0.02652302,1.61393261,6.80772174
,,,,
Filecoin,67.59518265,0.11940241,2.41928604,0.99338355
,,,,
Dai,1.000843039,0.0119523,0.07447844,-0.02817128
,,,,
Monero,258.4957964,-0.69960721,-5.19718201,18.84343102
,,,,
Aave,328.3674678,0.27619084,6.34414378,15.34209641
,,,,
Neo,52.70410673,0.27448129,0.11422657,16.39727189
,,,,
Klaytn,1.392828924,0.64952139,-2.59187069,9.50983245
,,,,
Maker,3285.84262,-0.26512192,1.35774291,41.63105483
,,,,
Bitcoin SV,166.5012372,0.21597627,-0.03145042,8.29437824
,,,,
SHIBA INU,7.83E-06,0.5331303,1.16115596,-3.5002465
,,,,
FTX Token,32.13345164,0.02016565,0.89381023,12.0023823
,,,,
Tezos,3.393062511,-0.50987994,1.97445321,10.211727
,,,,
IOTA,1.053825227,1.78592631,2.75411334,19.44123936
,,,,
Crypto.com Coin,0.114096799,0.02710632,0.96467805,7.56696183
,,,,
Cosmos,12.84337762,0.4018031,-1.29428304,18.36598546
,,,,
Algorand,0.86388094,-0.70155019,0.30550282,-0.69095728
,,,,
PancakeSwap,15.94879067,0.11771013,1.91775322,30.95495159
,,,,
Huobi Token,14.81068658,-0.50061155,0.20200726,14.98436142
,,,,
Kusama,308.2216477,4.43274882,11.98794826,12.75850112
,,,,
THORChain,11.34485653,-0.09096114,5.65983314,53.32815665
,,,,
BitTorrent,0.003649586,-0.23015189,-0.00536542,10.23506473
,,,,
Terra,5.833642908,-0.084821,1.50729073,3.39766715
,,,,
Avalanche,17.09615705,0.23302097,5.09953257,3.70359427
,,,,
UNUS SED LEO,2.158811673,1.75336131,4.74280666,-7.95443765
,,,,
Compound,389.2016236,-0.63032271,4.21417522,18.52015168
,,,,
TerraUSD,1.000036343,0.20295577,0.40328897,2.95234658
,,,,
Bitcoin BEP2,35790.70306,-0.13502999,1.49167605,3.02518761
,,,,
Decred,148.9944543,0.97813223,8.4028884,43.82162411
,,,,
Hedera Hashgraph,0.223715373,-1.14613259,7.18032312,-2.00420412
,,,,
Dash,185.4125997,-0.86745604,-4.6306066,20.50231895
,,,,
Zcash,154.3384589,-0.40863372,-7.33699773,23.76194234
,,,,
Celsius,7.179734884,0.03998123,3.09107096,15.73658292
,,,,
Elrond,96.87378995,-1.27711184,3.16707432,19.63343774
,,,,
NEM,0.181694634,-0.00576445,3.34402042,6.9727295
,,,,
Chiliz,0.272784474,-0.62517125,-1.24608867,23.85898692
,,,,
yearn.finance,42731.57132,0.63332947,6.0557326,31.15646113
,,,,
Theta Fuel,0.292609643,0.60744513,-3.02942678,16.48620639
,,,,
Holo,0.008708799,0.61040054,5.76865356,37.89707781
,,,,
Telcoin,0.028987969,-1.99183998,6.51364814,23.8125951
,,,,
Waves,13.18934049,0.72860319,-0.70075056,-12.49049511
,,,,
SushiSwap,10.90061564,-1.2650635,5.21062058,22.32271655
,,,,
Synthetix,11.91836429,0.58855046,1.8946877,-8.45531189
,,,,
Helium,16.10058097,-3.00798852,-5.7571621,50.67218501
,,,,
Enjin Coin,1.616572328,-3.26556023,19.47719655,60.87832691
,,,,
Paxos Standard,1.000157011,0.05208509,0.01529188,0.00833441
,,,,
Decentraland,0.786702321,-1.14044812,1.5635011,18.60361341
,,,,
NEAR Protocol,3.185129262,2.07992289,16.06806683,16.13458812
,,,,
Horizen,109.9821052,-1.38758331,2.56675926,37.02208037
,,,,
Zilliqa,0.106763592,-0.16330448,2.69498906,17.37992295
,,,,
Nexo,2.082322609,0.92279661,14.66199329,37.11353754
,,,,
Qtum,11.56254416,-0.02263014,0.80455506,32.55731465
,,,,
TrueUSD,0.999933348,0.05846147,0.0100864,-0.00851141
,,,,
Stacks,0.970248004,-0.28956699,-1.69341554,11.02362694
,,,,
Basic Attention Token,0.72240572,-1.12288504,0.43398652,19.77643926
,,,,
Revain,0.012371361,-1.38673969,-3.80833085,-4.92867358
,,,,
Bitcoin Gold,58.75051458,1.10321919,1.67147229,12.80068318
,,,,
Mdex,2.18241471,-0.5796329,5.0854813,25.87630076
,,,,
Nano,6.97049587,0.78631522,1.58488797,23.67036432
,,,,
Ontology,1.068663728,-0.05811056,2.902375,9.88394155
,,,,
Harmony,0.094623399,-0.46798341,8.10761091,21.26467256
,,,,
HUSD,1.000010197,0.03781973,0.00536979,-0.01060843
,,,,
OMG Network,6.334153663,-0.37202305,5.19719221,41.01680707
,,,,
DigiByte,0.06185389,-0.27211589,2.58134262,3.14940193
,,,,
Bancor,4.346299927,-0.15891974,1.77898522,17.36845107
,,,,
The Graph,0.666620053,0.37208409,4.1091836,1.14286659
,,,,
0x,0.960926429,-0.4521055,2.636782,17.04594855
,,,,
OKB,13.16988623,0.9434916,1.70127995,13.12965872
,,,,
Siacoin,0.016517829,-0.40924627,1.19857323,6.02936933
,,,,
UMA,12.98087716,-0.36930622,-0.53005723,8.08126412
,,,,
SwissBorg,0.785154673,0.25430616,3.10771394,19.72723831
,,,,
BakeryToken,4.09990055,-0.66074745,-2.9066338,70.97420475
,,,,
Fantom,0.301215735,-0.69238777,2.88934614,30.38545212
,,,,
Celo,3.380270254,1.23427631,1.1668726,29.00064664
,,,,
Ravencoin,0.080108073,-0.24673573,2.06163093,14.03103108
,,,,
Ankr,0.099142724,0.44754379,0.94220616,0.04388913
,,,,
ICON,1.067137099,-0.25417037,0.5233298,1.50741225
,,,,
Curve DAO Token,1.751257057,-1.32550988,12.50870759,19.04359074
